的,dyiex,5/|.的..
囚,qiriuz,2|~.囚.虬蝤赇.虯蛷
栗,leiis,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
辜,gouu,1-|.辜菇.鸪毂菰酤.蓇鴣苽轂
垫,deiians,4-|.垫.坫.
妒,dvwus,4~/.妒..
魁,kwuuiz,2/|.魁..
谣,yhvaoz,2\~.谣..
寞,mhhos,4\\.漠沫寞..
蜀,suvhuv,3|~.署蜀暑曙..
甩,swvhuaiv,3/~.甩..
涯,yhhaz,2\\.涯..
枕,zeihenv,3-|.枕..
丐,gouais,4-|.概.丐.蓋葢
泳,yhhongv,3\\.涌泳..
奎,kowuiz,2-/.奎..
泌,bhhis,4\\.泌.愎濞滗.
逾,ywhuz,2/\.余逾俞.觎.餘貗釪
叮,diring,1|~.盯叮.町.虰
黛,dwuais,4/|.代袋贷.黛岱.貸
燥,zhwaos,4\/.燥灶..
掷,zeihis,4-|.志掷挚.栉桎鸷贽.芖騺覟贄驇
藉,jeiiz,2-|.极吉藉棘.楫蒺蕺.鞊趌
枢,souhu,1-|.枢梳蔬抒.菽摅.輸
憎,zhheng,1\\.憎..
鲸,jyring,1/~.鲸.腈.鯨
弘,hvoongz,2~-.弘..
倚,yyiiv,3/|.倚..
侮,wwuuv,3/|.伍侮.仵.
藩,fouan,1-|.藩.蕃.轓
拂,fouuz,2-|.扶拂.芙苻茯菔莩桴.葍輻
鹤,hhres,4\~.鹤褐..隺鶴
蚀,syrhiz,2/~.蚀.鲥.
浆,jheiang,1\-.将浆..螀
芙,fouuz,2-|.扶拂.芙苻茯菔莩桴.葍輻
垃,loua,1-|.拉垃..
烤,khwaov,3\/.烤..
晒,suvhais,4|~.晒..
霜,sohhuang,1-\.霜..鸘
剿,cvvhao,1~~.剿..
蕴,youuns,4-|.蕴酝..醖醞
圾,jeii,1-|.机基圾.芨赍墼.鄿虀鞿覊賷
绸,cvvhouz,2~~.绸..絒
屿,yuvuv,3|~.屿.圄圉.蝺
氢,qyeing,1/-.氢..
驼,tvvuoz,2~~.驼..
妆,zhohuang,1\-.装庄妆..
捆,kouunv,3-|.捆..
铅,qyeian,1/-.千签迁铅钎..籤箞簽
逛,gwvuangs,4/~.逛..
淑,shhhu,1\\.淑..
榴,leiiuz,2-|.榴..駵藰驑
丙,beiingv,3-|.柄丙.邴.
痒,yhoangv,3\-.痒..
钞,cwohao,1/-.钞..
蹄,tiriz,2|~.题蹄啼..題鶗
犬,qowuanv,3-/.犬..
躬,gwuong,1/|.供躬..
昼,zvohous,4~-.昼..
藻,zouaov,3-|.藻枣..
蛛,zuvhu,1|~.蛛..蠩
褐,hhres,4\~.鹤褐..隺鶴
颊,jehiaz,2-\.颊.郏.
奠,dhyians,4\/.奠..
募,mouus,4-|.木幕墓慕募暮.苜.
耽,douan,1-|.担耽.聃.酖聸
蹈,duvaov,3|~.蹈..
陋,lvuous,4~|.陋..
侣,lwuyuv,3/|.侣..
魅,myieis,4/|..魅.鬽
岚,luvanz,2|~..岚.闌
侄,zyihiz,2/|.值侄..
虐,nuoues,4|-.虐..
堕,dvuuos,4~|.堕..
陛,briis,4~|.陛..
莹,yeiingz,2-|.营莹荧萤.萦楹茔蓥.藀
荫,yeiins,4-|.荫.茚.酳
狡,jyriaov,3/~.角脚狡饺..腳
阀,fhuaz,2\|.阀..
绞,jrriaov,3~~.缴绞..繳絞
膏,ghoao,1\-.高膏..
垮,kouuav,3-|.垮..
茎,jeiing,1-|.荆茎兢.菁.驚莖荊
缅,mrrianv,3~~.缅..
喇,luvav,3|~.喇..
绒,rvvongz,2~~.绒..絨
搅,jeiiaov,3-|.搅.挢.
凳,drhengs,4~\.邓凳..鄧
梭,souuo,1-|.梭蓑.桫.髿
丫,yhwa,1\/.丫..
姬,jryi,1~/.姬..
诏,zhvhaos,4\~.肇.诏.
钮,nyeiuv,3/-.钮..
棺,gouuan,1-|.棺.莞.觀蒄
耿,geiengv,3-|.耿梗埂..
缔,drris,4~~.缔..締
懈,xhhies,4\\.泄懈泻.瀣渫.
嫉,jryiz,2~/.嫉..
灶,zhwaos,4\/.燥灶..
匀,ywvunz,2/~.匀..
嗣,siris,4|~.四嗣.兕.
鸽,gyhe,1/\.鸽..鴿
澡,zhhaov,3\\.澡..
凿,zuuaoz,2||.凿..鑿
纬,wrreiv,3~~.纬..緯
沸,fhheis,4\\.沸.怫.
畴,cuvhouz,2|~.畴踌.帱.
刃,rryens,4~/.刃妊..
遏,eirs,4|~.遏鄂.颚鹗.顎鶚
烁,shwhuos,4\/.烁朔.槊.
嗅,xirius,4|~.嗅.岫.螑
叭,buva,1|~.叭.岜.
熬,aoooz,2--.熬敖.鳌遨螯獒聱.鰲鼇
瞥,phyie,1\/.瞥..
骸,huvaiz,2|~.骸..還
奢,seyhe,1-/.奢..
拙,zouhuo,1-|.捉拙..
栋,douongs,4-|.栋.垌.
毯,twoanv,3/-.毯.钽.
桐,touongz,2-|.桐酮.茼.
砂,sowha,1-/.砂..
莽,mouangv,3-|.莽..莾
泻,xhhies,4\\.泄懈泻.瀣渫.
坪,peiingz,2-|.萍苹坪.枰.聠蓱
梳,souhu,1-|.枢梳蔬抒.菽摅.輸
杉,souhan,1-|.杉栅苫.芟埏.
晤,wuvus,4|~.晤..
稚,zyehis,4/-.制智秩稚.雉.製铚秲锧稙鴙
蔬,souhu,1-|.枢梳蔬抒.菽摅.輸
蝇,yiringz,2|~.蝇..蝿蠅
捣,douaov,3-|.捣..
顷,qeringv,3-~.顷..頃
麽,mheex,5\-..麽.麼
尴,gowan,1-/..尴矸.
镖,byeiao,1/-..镖镳.
诧,chvhas,4\~.诧..
尬,gowas,4-/..尬.
硫,leyiuz,2-/.硫..
嚼,juvuez,2|~.嚼.崛蹶噱矍.躩
羡,xhyians,4\/.羡..粯
沦,lhhunz,2\\.沦..
沪,hhhus,4\\.沪.怙.
旷,kuvuangs,4|~.旷眶.贶.眖
彬,beiin,1-|.彬.槟.
芽,youaz,2-|.芽..
狸,lyriz,2/~.狸.鲡.鯏鱺
冥,mhringz,2\~..冥.鄍
碳,towans,4-/.碳..
咧,lirie,1|~..咧.
惕,thhis,4\\.惕涕.悌.
暑,suvhuv,3|~.署蜀暑曙..
咯,luvox,5|~.咯..
萝,louuoz,2-|.萝.椤.騾蘿
汹,xhhiong,1\\.汹..
腥,xyring,1/~.猩腥..
窥,khhui,1\\.窥.悝.
俺,awunv,3/|.俺..
潭,thhanz,2\\.潭..
崎,qiriz,2|~.崎畦.岐蛴蜞.跂蚑螧
麟,lheinz,2\-..麟.麐
捡,jeiianv,3-|.检捡拣柬茧.戬枧.鬋醎
拯,zeihengv,3-|.整拯..
厥,jowuez,2-/..厥劂.蹷蟨
澄,chhhengz,2\\.澄..
萎,weiei,1-|.萎.薇葳.葨
哉,zouai,1-|.栽哉..
涡,ghhuo,1\\.涡..
滔,thhao,1\\.涛滔..
暇,xiriaz,2|~.峡暇.黠.翈睱
溯,shhus,4\\.宿溯.愫涑.
鳞,lyrinz,2/~.鳞..鱗魿
酿,neiiangs,4-|.酿..釀
茵,yeiin,1-|.茵.堙.駰蒑
愕,ehhs,4\\..愕.頞
瞅,cuvhouv,3|~.瞅..
暮,mouus,4-|.木幕墓慕募暮.苜.
衙,ywwaz,2//.衙..
诫,jhries,4\~.诫..褯衸
斧,fwhuv,3/\.斧釜..釡
兮,xyhi,1/\.希悉.兮奚翕欷.錫豀鏭鑴翖
焕,hhwuans,4\/.焕豢..
棕,zouong,1-|.棕鬃..鬉騣
佑,ywuous,4/|.佑.鼬侑.
嘶,siri,1|~.思嘶.咝蛳.
妓,jryis,4~/.妓..
喧,xuvuan,1|~.喧.暄.矎睻
蓉,rouongz,2-|.荣融蓉茸.榕.駥
删,swvhan,1/~.删.膻.鯅
樱,yeiing,1-|.英樱.莺撄.
伺,cyiis,4/|.伺..
嗡,wireng,1|~.嗡..
娥,eryz,2~/.娥..
梢,souhao,1-|.梢捎..
坝,bouas,4-|.坝..覇
蚕,cooanz,2--.蚕..
敷,fouu,1-|.敷..麩
澜,lhhanz,2\\.澜..
杏,xeiings,4-|.幸杏.荇.莕
绥,svvuiz,2~~.绥..綏
冶,yheev,3\-.冶..
庇,bheis,4\-.庇痹.庳.詖
挠,nouaoz,2-|.挠..
搂,lououv,3-|.搂..
倏,swuhu,1/|..倏.
聂,neiies,4-|.聂孽.颞蘖.菍糵顳苶聶
婉,wvwanv,3~/.婉..
噪,zuvaos,4|~.躁噪.唣.
稼,jyeias,4/-.稼..
鳍,qyriz,2/~.脐.鳍.臍鯕鲯
菱,leiingz,2-|.菱.聆苓棂柃.醽
盏,zoohanv,3--.盏..
匿,neeis,4--.匿..
吱,ziri,1|~.吱.嵫.
寝,qhhinv,3\\.寝..
揽,louanv,3-|.揽.榄.
髓,suvuiv,3|~.髓..
秉,byeingv,3/-.秉..
哺,buvu,1|~.哺.晡.
矢,syehiv,3/-.矢..
啪,puva,1|~.啪趴..
帜,zirhis,4|~.置帜峙.蛭帙踬.跱
邵,svwhaos,4~/.邵.劭.
嗽,suvous,4|~.嗽..
挟,jeiia,1-|.嘉挟枷.葭.
缸,gwoang,1/-.钢缸..罁
揉,rououz,2-|.揉.鞣.葇
腻,nyris,4/~.腻..膩
驯,xvvunz,2~~.巡驯..紃
缆,lvvanv,3~~.缆..
晌,suvhangv,3|~.晌..
瘫,thoan,1\-.瘫..
贮,zuvhus,4|~.助贮蛀..貯跓
觅,myhis,4/\.觅..覓
朦,myrengz,2/~..朦.
僻,pyiis,4/|.僻..
隋,svuuiz,2~|.随隋..隨
蔓,mouanz,2-|.蔓.鞔.鬘
咋,zuvav,3|~.咋..
嵌,qirians,4|~.嵌..
虔,qieianz,2|-..虔.
畔,puvans,4|~.盼畔..眫
琐,soouov,3--.琐..
碟,deyiez,2-/.碟..
涩,shhes,4\\.涩..
胧,lwvongz,2/~..胧.
嘟,duvu,1|~..嘟.闍
蹦,birengs,4|~.蹦..跰
冢,zhvhongv,3\~..冢.
浏,lhhiuz,2\\.流.浏鎏.
裔,yheis,4\-.意亦疫毅裔.奕弈翊癔瘗.議詣譯裛謚讛
襟,jhrin,1\~.襟.衿.
叨,duvao,1|~..叨.
诀,jhvuez,2\~.诀.谲.
旭,xwvus,4/~.旭..
虾,xiria,1|~.瞎虾..蝦
簿,bwous,4/-.簿.钚.篰
啤,piriz,2|~.啤毗.罴蚍蜱.
擒,qeiinz,2-|.勤擒芹.芩檎.菦
枣,zouaov,3-|.藻枣..
嘎,guva,1|~.嘎.呷.
苑,youuans,4-|.苑.掾垸.
牟,mvhouz,2~\.牟.鍪.鴾鞪
呕,ouvuv,3|~.呕..
骆,lvvuos,4~~.络骆..絡
凸,tuou,1|-.凸..
熄,xhyi,1\/.熄烯.羲粞.糦
兀,wowus,4-/.戊.兀.
喔,ouv,1|~..噢喔.
裳,suhhangx,5|\.裳..
凹,auvo,1|~.凹..
赎,suvhuz,2|~.赎..
屯,tovunz,2-~.屯..
膛,twvangz,2/~.膛.饧.
浇,jhhiao,1\\.浇..
灼,zhwhuoz,2\/.灼..
裘,qeiiuz,2-|.求.裘逑.
砰,peyeng,1-/.砰..磞
棘,jeiiz,2-|.极吉藉棘.楫蒺蕺.鞊趌
橡,xeiiangs,4-|.项巷橡..項
碱,jeyianv,3-/.碱硷..蠒
聋,lowongz,2-/.龙聋.砻.龓
姥,lvwaov,3~/.姥..
瑜,yoouz,2--.于盂.瑜.邘
毋,wvvuz,2~~.毋..
娅,yvwas,4~/..娅.
沮,jhhuv,3\\.举沮..
萌,meiengz,2-|.蒙萌檬.瞢甍.
俏,qyiiaos,4/|.俏..
黯,auvns,4|~.暗岸.黯.
撇,peiie,1-|.撇..
粟,souus,4-|.速粟.蔌.驌藗
粪,fhyens,4\/.粪..糞
尹,yreinv,3~-.引尹..
苟,gououv,3-|.苟..耈耇
癫,dheian,1\-..癫.
蚂,muva,1|~.蚂..
禹,ywuuv,3/|.禹.俣伛.與
廖,lheiaos,4\-.廖..
俭,jyiianv,3/|.俭..
帖,tirie,1|~.贴帖..貼
煎,jhyian,1\/.兼煎.鹣.
缕,lvvyuv,3~~.缕..絽縷
窦,dhhous,4\\..窦.竇
簇,cwous,4/-.簇..
棱,leiengz,2-|.棱楞.塄.薐輘
叩,kuvous,4|~..叩.
呐,nuvax,5|~.呐..
瑶,yooaoz,2--.瑶.珧.
墅,suvhus,4|~.墅..
莺,yeiing,1-|.英樱.莺撄.
烫,thhangs,4\\.烫..
蛙,wuva,1|~.蛙..
歹,dowaiv,3-/.歹..
伶,lyiingz,2/|.伶..
葱,couong,1-|.聪葱.枞苁.茐聦聰蔥驄聡
哮,xiriao,1|~.哮嚣.哓.鸮蟂鴞
眩,xuvuans,4|~.眩..
坤,kouun,1-|.坤.髡醌.髠
廓,khouos,4\-.廓..
讳,hhvuis,4\~.讳诲..
啼,tiriz,2|~.题蹄啼..題鶗
乍,zwohas,4/-.乍..
瓣,bhoans,4\-.瓣..辦
矫,jyeiaov,3/-.矫铰..矯筊
跋,buvaz,2|~.跋..
枉,wouangv,3-|.枉..菵
梗,geiengv,3-|.耿梗埂..
厕,ceyes,4-/.厕..
琢,zoouoz,2--.琢..
讥,jhri,1\~.讥..禨
釉,ywhous,4/\.釉..
窟,khhu,1\\.窟..窋
敛,lyhianv,3/\.敛..
轼,serhis,4-~..轼.
庐,lhouz,2\-.庐..
胚,pyrei,1/~.胚..肧
呻,sirhen,1|~.申呻..
绰,cvvhuos,4~~.绰..
扼,eeis,4-|.恶扼.噩萼垩苊.蕚軛蘁
懿,yeiis,4-|.艺抑.懿薏挹埸.藙蓺鷧藝耴輗苅驛
炯,jhyiongv,3\/.炯..
竿,gwoan,1/-.竿..筸
慷,khhang,1\\.慷..
虞,yuouz,2|-.虞..
锤,cwohuiz,2/-.垂锤..箠
栓,souhuan,1-|.栓拴..
桨,jheiangv,3\-.奖桨..講
蚊,wirenz,2|~.蚊..聞闅閺閿
磅,bowangs,4-/.磅..
孽,neiies,4-|.聂孽.颞蘖.菍糵顳苶聶
惭,chhanz,2\\.惭..
戳,cvhhuo,1~\.戳..
禀,bheingv,3\-..禀.稟
鄂,eirs,4|~.遏鄂.颚鹗.顎鶚
馈,kwvuis,4/~.馈..
垣,youuanz,2-|.援袁垣.芫塬橼.薗
溅,jhhians,4\\.渐溅涧..
咚,duvong,1|~..咚岽.蝀
钙,gwoais,4/-.钙..
礁,jeyiao,1-/.礁..
彰,zhohang,1\-.章彰.鄣.麞
豁,hhhuaz,2\\.滑豁..
眯,miri,1|~.眯.咪.瞇
磷,leyinz,2-/.磷..
雯,wehenz,2-\..雯.
墟,xouu,1-|.墟..鬚蕦
迂,yoou,1--.迂..
瞻,zuvhan,1|~.瞻..
颅,luouz,2|-.卢颅.鸬.顱
琉,leeiuz,2--.琉..
悼,dhhaos,4\\.悼..盜
蝴,huvuz,2|~.蝴.囫.
拣,jeiianv,3-|.检捡拣柬茧.戬枧.鬋醎
渺,mhhiaov,3\\.渺..
眷,jhwuans,4\/.眷..絭
悯,mhhinv,3\\.悯.泯.
汰,thhais,4\\.汰..
慑,shhhes,4\\.涉慑.滠.
婶,sryhenv,3~/.婶..
斐,fieeiv,3|-..斐翡.
嘘,xuvu,1|~.嘘.盱.
镶,xyeiang,1/-.香箱镶..
炕,khwangs,4\/.炕..
宦,hhhuans,4\\.宦涣.浣逭漶.
趴,puva,1|~.啪趴..
绷,brreng,1~~.绷..繃絣
窘,jhhiongv,3\\.窘..
襄,xheiang,1\-.襄..
珀,pooos,4--..珀.
嚣,xiriao,1|~.哮嚣.哓.鸮蟂鴞
拚,peiin,1-|.拼.拚.
酌,zouhuoz,2-|.酌茁.擢.
浊,zhhhuoz,2\\.浊.濯浞.
毓,ywous,4/-..毓钰.籲籞
撼,houans,4-|.翰撼捍.菡.
嗜,sirhis,4|~.是嗜噬..眎
扛,kouangz,2-|.扛..
峭,qiriaos,4|~.峭..踃
磕,keye,1-/.磕..
翘,qeriaos,4-~.翘..
槽,couaoz,2-|.曹槽..蓸
淌,thhangv,3\\.淌..
栅,souhan,1-|.杉栅苫.芟埏.
颓,twouiz,2/-.颓..頹頺
熏,xwoun,1/-.熏..
瑛,yeeing,1--..瑛璎.
颐,yeiiz,2-|.颐.圯.頤
忖,chhunv,3\\..忖.
牡,mwouv,3/-.牡..
缀,zvvhuis,4~~.缀.缒.縋綴
徊,hwwuaiz,2//.徊..
梨,lyeiz,2/-.黎梨篱犁.黧.鋫邌鯬筣籬
肪,fwvangz,2/~.肪.鲂.
涕,thhis,4\\.惕涕.悌.
惫,byreis,4/~.备惫狈..
摹,mouoz,2-|.模摹蘑..謩
踱,duvuoz,2|~..踱.
肘,zwvhouv,3/~.肘..
熔,rhwongz,2\/.熔..
挚,zeihis,4-|.志掷挚.栉桎鸷贽.芖騺覟贄驇
氯,lwoyus,4/-.氯..
凛,lheinv,3\-.凛.廪.
绎,yrris,4~~.绎.驿缢.絏
庶,shohus,4\-.庶..
脯,fwvuv,3/~.脯腑..
迭,dyeiez,2/-.迭..
睦,muvus,4|~.目睦..
窍,qhhiaos,4\\.窍..竅
粥,zvohou,1~-.粥..
庵,ahon,1\-..庵.鶕
沧,chhang,1\\.沧..
怠,dvhais,4~\.怠.迨.
沁,qhhins,4\\.沁..
奕,yheis,4\-.意亦疫毅裔.奕弈翊癔瘗.議詣譯裛謚讛
咙,luvongz,2|~.咙..眬躘
氨,awon,1/-.氨..
矗,couhus,4-|.矗搐..
盔,kowui,1-/.盔..
拇,mouuv,3-|.拇.坶.
沛,phheis,4\\.沛..
榻,touas,4-|.拓挞.榻.
揣,couhuai,1-|.揣.搋.
崭,zuvhanv,3|~.崭..
鞘,qeiiaos,4-|.鞘撬..翹
鞠,jouu,1-|.拘鞠.掬趄鞫苴椐.
垦,kreenv,3~-.恳垦..
洽,qhhias,4\\.恰洽..
唾,tuvuos,4|~.唾..跅
橱,couhuz,2-|.橱..蒭
仕,syihis,4/|.侍仕..
蜘,zirhi,1|~.蜘..
痰,thoanz,2\-.痰..談
袜,whvas,4\~.袜..襪
峙,zirhis,4|~.置帜峙.蛭帙踬.跱
柬,jeiianv,3-|.检捡拣柬茧.戬枧.鬋醎
蝉,cuvhanz,2|~.蝉.蟾躔.蟬
蟹,xyries,4/~.蟹.邂獬.
谏,jhrians,4\~..谏.
鹃,juvuan,1|~.鹃..
擎,qeiingz,2-|.擎.檠.
皓,hwuaos,4/|..皓.
朕,zyrhens,4/~..朕.
疤,bhoa,1\-.疤..
禺,yuvuz,2|~.愚.禺嵛蝓.顒颙
铲,cwohanv,3/-.铲..
酶,meieiz,2-|.梅枚酶.楣莓.蘪
钝,dwouns,4/-.钝..
氓,mhoangz,2\-.盲氓.邙.龒
匣,xeiiaz,2-|.匣.柙.
弧,hvouz,2~-.弧..
峨,eirz,2|~.峨蛾.蚵.睋
锥,zwohui,1/-.锥..
揪,jeiiu,1-|.揪.赳鬏.
杠,gouang,1-|.杠..
吭,huvangz,2|~.吭..蚢
崛,juvuez,2|~.嚼.崛蹶噱矍.躩
诬,whvu,1\~.诬..
冉,ruvanv,3|~.冉..
抒,souhu,1-|.枢梳蔬抒.菽摅.輸
庚,gheeng,1\-.庚.赓.鶊鹒賡
悍,hhhans,4\\.汉汗憾悍.瀚.
靡,mheiz,2\-.靡糜.麋縻.詸
晦,huvuis,4|~.贿晦.喙蟪.翙賄
醋,couus,4-|.醋.蔟.
壕,houaoz,2-|.壕..
锯,jwou,1/-.锯.锔.
夭,ywoao,1/-..夭.
咦,yiriz,2|~.遗.咦贻眙嶷.遺貤貽
侈,cyihiv,3/|.侈..
婢,bryis,4~/..婢.
猾,hwvuaz,2/~.猾..
徘,pwwaiz,2//.徘..
硝,xeyiao,1-/.硝..硣
煽,shwhan,1\/.煽..羶羴
皂,zwuaos,4/|.皂..
舵,dwwuos,4//.舵..
嗦,suvuo,1|~.唆.嗦嗍睃.
狈,byreis,4/~.备惫狈..
靴,xouue,1-|.薛靴..
捂,wouuv,3-|.五捂..
疮,chohuang,1\-.疮..
郝,houaov,3-|.郝..
苛,keie,1-|.柯棵苛..薖軻
秽,hwouis,4/-.秽..篲穢
茜,qeiians,4-|..茜芡.蒨
搓,couuo,1-|.搓撮..
芸,youunz,2-|..芸.鋆蒷
酱,jheiangs,4\-.酱..
赁,lyiins,4/|.赁..
檐,youanz,2-|.严盐.檐.鹽莚
饷,xyriangv,3/~..饷.
蕉,jeiiao,1-|.教蕉椒.艽茭.萩轇驕
铀,ywoouz,2/-.铀..郵
苔,touai,1-|.苔..
赦,seihes,4-|.摄赦..蔎騇
缎,dvvuans,4~~.缎..緞
舷,xyyianz,2//.衔舷..銜
筷,kwouais,4/-.筷..
朔,shwhuos,4\/.烁朔.槊.
婪,louanz,2-|.蓝拦栏婪..蘭葻藍
紊,wheenv,3\-.紊..
厮,seyi,1-/..厮.
婿,xvwus,4~/.婿絮..
寥,lhhiaoz,2\\.寥.寮.竂
兢,jeiing,1-|.荆茎兢.菁.驚莖荊
糙,chwao,1\/.糙..
卦,gouuas,4-|.挂.卦.
槐,houuaiz,2-|.槐..
扒,boua,1-|.扒芭捌..
裴,pieeiz,2|-.裴..
祀,shris,4\~..祀.禩
埔,pouuv,3-|.朴埔..
絮,xvwus,4~/.婿絮..
芭,boua,1-|.扒芭捌..
屉,treis,4~-.屉..
痪,hhouans,4\-.痪..
霄,xehiao,1-\.霄..
绽,zvvhans,4~~.绽..
宵,xhhiao,1\\.消宵.潇.
邑,yiris,4|~.易邑屹.呓蜴峄.睪蛡鶍螠
霖,lehinz,2-\.霖..
岔,cwhhas,4/\.岔..
饵,eyrrv,3/~.尔饵.迩.
茄,qeiiez,2-|.茄..聺
韧,reeens,4--.韧..
琪,qeeiz,2--..琪琦亓.
邹,zwvou,1/~.邹.鲰.
瑚,hoouz,2--.瑚..
憋,bhyie,1\/.憋鳖..鼈鱉
殆,dowais,4-/.殆..
噜,luvu,1|~..噜.
忒,tehes,4-\..忒.
忿,fyhens,4/\.忿..
衅,xyiins,4/|.信衅.囟.舋
淳,chhhunz,2\\.淳..
悖,bhheis,4\\..悖.
髦,mouaoz,2-|.茅.髦茆.髳鶜
孜,zrii,1~|.孜..
粤,ywuues,4/|.岳粤..粵
隘,avuis,4~|.隘..
濒,bhhin,1\\.宾滨濒..賓
铮,zyeheng,1/-..铮筝钲.箏篜
畸,jiri,1|~.畸.叽羁唧跻咭.踦羇羈
剔,tiri,1|~.踢剔..
坞,wouus,4-|.坞.芴杌.靰
篱,lyeiz,2/-.黎梨篱犁.黧.鋫邌鯬筣籬
淀,dhhians,4\\.淀惦..
蓦,mouos,4-|.莫.蓦茉.驀藦
唬,huvuv,3|~.唬..
锣,lwouoz,2/-.锣箩.镙.
汀,thhing,1\\.汀..
趾,zirhiv,3|~.只趾..
缉,jrri,1~~.缉.畿.績緝
嫦,cvwhangz,2~/..嫦.
斟,zeihen,1-|.真斟甄.桢榛蓁.
鞍,aoun,1-|.鞍.桉.
扳,bouan,1-|.搬扳..
拴,souhuan,1-|.栓拴..
诅,zhvuv,3\~.祖诅..
谟,mhvoz,2\~..谟.
呃,eirx,5|~..呃.
懦,nhhuos,4\\.懦..
逞,cirhengv,3|~.逞..
犁,lyeiz,2/-.黎梨篱犁.黧.鋫邌鯬筣籬
忏,chhhans,4\\..忏.
拧,neiingz,2-|.拧柠.聍.聹
亥,hhoais,4\-.亥..
佟,twuongz,2/|..佟僮.
叱,cirhis,4|~..叱.
舜,swhhuns,4/\.舜..
绊,bvvans,4~~.绊..絆
龚,gowong,1-/.龚..碽
腮,swvai,1/~.腮鳃..
邸,dyriv,3/~..邸.
椒,jeiiao,1-|.教蕉椒.艽茭.萩轇驕
蔚,weieis,4-|.蔚.軎.苿藯
湛,zhhhans,4\\.湛..
狩,swvhous,4/~..狩.膄
眶,kuvuangs,4|~.旷眶.贶.眖
栈,zouhans,4-|.栈蘸..菚
薇,weiei,1-|.萎.薇葳.葨
肮,awvng,1/~.肮..
瀑,phhus,4\\.瀑..
渣,zhhha,1\\.渣..
褂,ghvuas,4\~.褂.诖.
叽,jiri,1|~.畸.叽羁唧跻咭.踦羇羈
臀,tvounz,2~-.臀..臋
妞,nryiu,1~/..妞.
巍,wirei,1|~.巍..
唔,eirnz,2|~..唔.
疚,jheius,4\-.就疚.鹫.鷲
鲤,lyriv,3/~.鲤.鳢.鱧
戎,rooongz,2--.戎..
肇,zhvhaos,4\~.肇.诏.
笃,dwouv,3/-..笃.篤
辙,cerhes,4-~.辙..
娴,xryianz,2~/.嫌.娴.
阮,rvuuanv,3~|.阮..
札,zouhaz,2-|.札..
懊,ahhos,4\\.澳懊..
焘,dooaos,4--..焘纛.
恤,xhhus,4\\.恤.溆洫.
疹,zhehenv,3\-.疹..診
潇,xhhiao,1\\.消宵.潇.
铝,lwoyuv,3/-.铝.稆.
涤,dhhiz,2\\.涤..
恃,shhhis,4\\.室恃..
喽,luvoux,5|~..喽.
砌,qeyis,4-/.砌.碛.碶磜磩
遁,dwwuns,4//.盾遁..
楞,leiengz,2-|.棱楞.塄.薐輘
阱,jriingv,3~|..阱.
咎,jyrius,4/~.咎..
洼,whha,1\\.洼..窪窊
炳,bhyingv,3\/.炳..
噬,sirhis,4|~.是嗜噬..眎
枫,feieng,1-|.封枫.葑.
拷,kouaov,3-|.考拷.栲.
哆,duvuo,1|~.哆.咄.
矶,jeyi,1-/..矶剞.磯
苇,weieiv,3-|.苇..薳葦趡蔿
翩,phrian,1\~..翩.
窒,zhhhis,4\\.治滞窒.忮.
侬,nwuongz,2/|..侬.
靶,bouav,3-|.把靶..
胰,yyriz,2/~.疑胰.饴.迻
芜,wouuz,2-|.吾芜梧..鹀茣莁
辫,bheians,4\-.变辩辨辫卞..變辯
嚎,huvaoz,2|~.嚎.嗥蚝.蠔
妾,qheies,4\-..妾.
幌,huvuangv,3|~.幌..
踉,liriangz,2|~..踉.
佃,dyiians,4/|.佃..
葫,houuz,2-|.胡壶葫.鹕槲觳醐.縠
皖,wwuanv,3/|.皖..
拽,yeies,4-|.拽..葉
滤,lhhyus,4\\.滤..
睬,cuvaiv,3|~.踩睬..
俞,ywhuz,2/\.余逾俞.觎.餘貗釪
匕,byri,1/~..匕.鲾
谤,bhvangs,4\~.谤..
嗤,cirhi,1|~.吃.嗤哧螭眵.
捍,houans,4-|.翰撼捍.菡.
孵,fwvu,1/~.肤孵..
倪,nyiiz,2/|.倪..
瘾,yheinv,3\-..瘾.
敝,bhyis,4\/.弊敝..鷩
匡,koouang,1--.匡..邼
磋,cowuo,1-/.磋..
绫,lrringz,2~~..绫.
淆,xhhiaoz,2\\.淆..
尧,yovaoz,2-~.尧.轺.
蕊,rouuiv,3-|.蕊..蘂
烘,hhwong,1\/.烘..
璋,zoohang,1--..璋.
亢,khoangs,4\-.亢..
轧,yovas,4-~.轧.迓.
赂,luvus,4|~.路赂.鹭.睩賂鷺
蝗,huvuangz,2|~.蝗.蟥.
榆,youuz,2-|.榆.揄萸.荢
骏,jvvuns,4~~.骏..
诛,zhvhu,1\~.诸诛..
勺,swvhaoz,2/~.勺..
梵,fouans,4-|.范.梵.軓
炽,chyhis,4\/.炽..
笠,lyeis,4/-.利.笠篥.
颌,hyhez,2/\.合盒.颌.龢頜
闸,zhuhaz,2\|.闸..
狒,fyreis,4/~.肺.狒.
樊,fouanz,2-|.樊.蘩.蠜薠
镕,rwoongz,2/-...镕
垢,gouous,4-|.构垢.彀.
瘟,wheen,1\-.瘟..
缪,mrriaos,4~~..缪.繆
菇,gouu,1-|.辜菇.鸪毂菰酤.蓇鴣苽轂
琦,qeeiz,2--..琪琦亓.
剃,thyis,4\/.剃..
迸,bhyengs,4\/.迸..
