的,daiehh,5/|.的..
烤,kuaaao,3\/.烤..
晒,shioaaih,4|~.晒..
霜,sheuuang,1-\.霜..鸘
剿,chooao,1~~.剿..
蕴,yeiuuhn,4-|.蕴酝..醖醞
圾,jeii,1-|.机基圾.芨赍墼.鄿虀鞿覊賷
绸,chooouh,2~~.绸..絒
屿,yiouu,3|~.屿.圄圉.蝺
氢,qaeing,1/-.氢..
驼,toouoh,2~~.驼..
妆,zhueuang,1\-.装庄妆..
捆,keiuun,3-|.捆..
铅,qaeian,1/-.千签迁铅钎..籤箞簽
逛,gaouaahng,4/~.逛..
淑,shuuu,1\\.淑..
榴,leiiuh,2-|.榴..駵藰驑
丙,beiiing,3-|.柄丙.邴.
痒,yueaang,3\-.痒..
钞,chaeao,1/-.钞..
蹄,tioih,2|~.题蹄啼..題鶗
犬,qeauaan,3-/.犬..
躬,gaiong,1/|.供躬..
昼,zhoeoouh,4~-.昼..
藻,zeiaao,3-|.藻枣..
蛛,zhiou,1|~.蛛..蠩
褐,huoeeh,4\~.鹤褐..隺鶴
颊,jeuiah,2-\.颊.郏.
奠,duaiaahn,4\/.奠..
募,meiuuh,4-|.木幕墓慕募暮.苜.
耽,deian,1-|.担耽.聃.酖聸
蹈,dioaao,3|~.蹈..
陋,loioouh,4~|.陋..
侣,lyaiuu,3/|.侣..
魅,maieeih,4/|..魅.鬽
岚,lioahn,2|~..岚.闌
侄,zhaiih,2/|.值侄..
虐,nieueeh,4|-.虐..
堕,doiuooh,4~|.堕..
陛,boiiih,4~|.陛..
莹,yeiihng,2-|.营莹荧萤.萦楹茔蓥.藀
荫,yeiiihn,4-|.荫.茚.酳
狡,jaoiaao,3/~.角脚狡饺..腳
阀,fuiah,2\|.阀..
绞,jooiaao,3~~.缴绞..繳絞
膏,gueao,1\-.高膏..
垮,keiuaa,3-|.垮..
茎,jeiing,1-|.荆茎兢.菁.驚莖荊
缅,mooiaan,3~~.缅..
喇,lioaa,3|~.喇..
绒,rooohng,2~~.绒..絨
搅,jeiiaao,3-|.搅.挢.
凳,doueehng,4~\.邓凳..鄧
梭,seiuo,1-|.梭蓑.桫.髿
丫,yuaa,1\/.丫..
姬,joai,1~/.姬..
诏,zhuoaaoh,4\~.肇.诏.
钮,naeiuu,3/-.钮..
棺,geiuan,1-|.棺.莞.觀蒄
耿,geieeng,3-|.耿梗埂..
缔,dooiih,4~~.缔..締
懈,xuuieeh,4\\.泄懈泻.瀣渫.
嫉,joaih,2~/.嫉..
灶,zuaaaoh,4\/.燥灶..
匀,yaouhn,2/~.匀..
嗣,sioiih,4|~.四嗣.兕.
鸽,gaue,1/\.鸽..鴿
澡,zuuaao,3\\.澡..
凿,ziiaoh,2||.凿..鑿
纬,wooeei,3~~.纬..緯
沸,fuueeih,4\\.沸.怫.
畴,chioouh,2|~.畴踌.帱.
刃,roaeehn,4~/.刃妊..
遏,ioeeh,4|~.遏鄂.颚鹗.顎鶚
烁,shuauooh,4\/.烁朔.槊.
嗅,xioiuuh,4|~.嗅.岫.螑
叭,bioa,1|~.叭.岜.
熬,eeaoh,2--.熬敖.鳌遨螯獒聱.鰲鼇
瞥,puaie,1\/.瞥..
骸,hioaih,2|~.骸..還
奢,sheae,1-/.奢..
拙,zheiuo,1-|.捉拙..
栋,deioohng,4-|.栋.垌.
毯,taeaan,3/-.毯.钽.
桐,teiohng,2-|.桐酮.茼.
砂,sheaa,1-/.砂..
莽,meiaang,3-|.莽..莾
泻,xuuieeh,4\\.泄懈泻.瀣渫.
坪,peiihng,2-|.萍苹坪.枰.聠蓱
梳,sheiu,1-|.枢梳蔬抒.菽摅.輸
杉,sheian,1-|.杉栅苫.芟埏.
晤,wiouuh,4|~.晤..
稚,zhaeiih,4/-.制智秩稚.雉.製铚秲锧稙鴙
蔬,sheiu,1-|.枢梳蔬抒.菽摅.輸
蝇,yioihng,2|~.蝇..蝿蠅
捣,deiaao,3-|.捣..
顷,qeoiing,3-~.顷..頃
麽,mueehh,5\-..麽.麼
尴,geaan,1-/..尴矸.
镖,baeiao,1/-..镖镳.
诧,chuoaah,4\~.诧..
尬,geaaah,4-/..尬.
硫,leaiuh,2-/.硫..
嚼,jioueh,2|~.嚼.崛蹶噱矍.躩
羡,xuaiaahn,4\/.羡..粯
沦,luuuhn,2\\.沦..
沪,huuuuh,4\\.沪.怙.
旷,kiouaahng,4|~.旷眶.贶.眖
彬,beiin,1-|.彬.槟.
芽,yeiah,2-|.芽..
狸,laoih,2/~.狸.鲡.鯏鱺
冥,muoihng,2\~..冥.鄍
碳,teaaahn,4-/.碳..
咧,lioie,1|~..咧.
惕,tuuiih,4\\.惕涕.悌.
暑,shiouu,3|~.署蜀暑曙..
咯,lioohh,5|~.咯..
萝,leiuoh,2-|.萝.椤.騾蘿
汹,xuuiong,1\\.汹..
腥,xaoing,1/~.猩腥..
窥,kuuui,1\\.窥.悝.
俺,aiaan,3/|.俺..
潭,tuuahn,2\\.潭..
崎,qioih,2|~.崎畦.岐蛴蜞.跂蚑螧
麟,lueihn,2\-..麟.麐
捡,jeiiaan,3-|.检捡拣柬茧.戬枧.鬋醎
拯,zheieeng,3-|.整拯..
厥,jeaueh,2-/..厥劂.蹷蟨
澄,chuuehng,2\\.澄..
萎,weiei,1-|.萎.薇葳.葨
哉,zeiai,1-|.栽哉..
涡,guuuo,1\\.涡..
滔,tuuao,1\\.涛滔..
暇,xioiah,2|~.峡暇.黠.翈睱
溯,suuuuh,4\\.宿溯.愫涑.
鳞,laoihn,2/~.鳞..鱗魿
酿,neiiaahng,4-|.酿..釀
茵,yeiin,1-|.茵.堙.駰蒑
愕,uueeh,4\\..愕.頞
瞅,chiooou,3|~.瞅..
暮,meiuuh,4-|.木幕墓慕募暮.苜.
衙,yaaah,2//.衙..
诫,juoieeh,4\~.诫..褯衸
斧,fauuu,3/\.斧釜..釡
兮,xaui,1/\.希悉.兮奚翕欷.錫豀鏭鑴翖
焕,huauaahn,4\/.焕豢..
棕,zeiong,1-|.棕鬃..鬉騣
佑,yaioouh,4/|.佑.鼬侑.
嘶,sioi,1|~.思嘶.咝蛳.
妓,joaiih,4~/.妓..
喧,xiouan,1|~.喧.暄.矎睻
蓉,reiohng,2-|.荣融蓉茸.榕.駥
删,shaoan,1/~.删.膻.鯅
樱,yeiing,1-|.英樱.莺撄.
伺,caiiih,4/|.伺..
嗡,wioeng,1|~.嗡..
娥,oaeh,2~/.娥..
梢,sheiao,1-|.梢捎..
坝,beiaah,4-|.坝..覇
蚕,ceeahn,2--.蚕..
敷,feiu,1-|.敷..麩
澜,luuahn,2\\.澜..
杏,xeiiihng,4-|.幸杏.荇.莕
绥,soouih,2~~.绥..綏
冶,yueee,3\-.冶..
庇,bueiih,4\-.庇痹.庳.詖
挠,neiaoh,2-|.挠..
搂,leioou,3-|.搂..
倏,shaiu,1/|..倏.
聂,neiieeh,4-|.聂孽.颞蘖.菍糵顳苶聶
婉,woaaan,3~/.婉..
噪,zioaaoh,4|~.躁噪.唣.
稼,jaeiaah,4/-.稼..
鳍,qaoih,2/~.脐.鳍.臍鯕鲯
菱,leiihng,2-|.菱.聆苓棂柃.醽
盏,zheeaan,3--.盏..
匿,neeiih,4--.匿..
吱,zioi,1|~.吱.嵫.
寝,quuiin,3\\.寝..
揽,leiaan,3-|.揽.榄.
髓,siouii,3|~.髓..
秉,baeiing,3/-.秉..
哺,biou,1|~.哺.晡.
矢,shaeii,3/-.矢..
啪,pioa,1|~.啪趴..
帜,zhioiih,4|~.置帜峙.蛭帙踬.跱
邵,shoaaaoh,4~/.邵.劭.
嗽,siooouh,4|~.嗽..
挟,jeiia,1-|.嘉挟枷.葭.
缸,gaeang,1/-.钢缸..罁
揉,reiouh,2-|.揉.鞣.葇
腻,naoiih,4/~.腻..膩
驯,xoouhn,2~~.巡驯..紃
缆,looaan,3~~.缆..
晌,shioaang,3|~.晌..
瘫,tuean,1\-.瘫..
贮,zhiouuh,4|~.助贮蛀..貯跓
觅,mauiih,4/\.觅..覓
朦,maoehng,2/~..朦.
僻,paiiih,4/|.僻..
隋,soiuih,2~|.随隋..隨
蔓,meiahn,2-|.蔓.鞔.鬘
咋,zioaa,3|~.咋..
嵌,qioiaahn,4|~.嵌..
虔,qieiahn,2|-..虔.
畔,pioaahn,4|~.盼畔..眫
琐,seeuoo,3--.琐..
碟,deaieh,2-/.碟..
涩,suueeh,4\\.涩..
胧,laoohng,2/~..胧.
嘟,diou,1|~..嘟.闍
蹦,bioeehng,4|~.蹦..跰
冢,zhuooong,3\~..冢.
浏,luuiuh,2\\.流.浏鎏.
裔,yueiih,4\-.意亦疫毅裔.奕弈翊癔瘗.議詣譯裛謚讛
襟,juoin,1\~.襟.衿.
叨,dioao,1|~..叨.
诀,juoueh,2\~.诀.谲.
旭,xaouuh,4/~.旭..
虾,xioia,1|~.瞎虾..蝦
簿,baeuuh,4/-.簿.钚.篰
啤,pioih,2|~.啤毗.罴蚍蜱.
擒,qeiihn,2-|.勤擒芹.芩檎.菦
枣,zeiaao,3-|.藻枣..
嘎,gioa,1|~.嘎.呷.
苑,yeiuaahn,4-|.苑.掾垸.
牟,mououh,2~\.牟.鍪.鴾鞪
呕,iooou,3|~.呕..
骆,loouooh,4~~.络骆..絡
凸,tieu,1|-.凸..
熄,xuai,1\/.熄烯.羲粞.糦
兀,weauuh,4-/.戊.兀.
喔,ioo,1|~..噢喔.
裳,shiuahhng,5|\.裳..
凹,ioao,1|~.凹..
赎,shiouh,2|~.赎..
屯,teouhn,2-~.屯..
膛,taoahng,2/~.膛.饧.
浇,juuiao,1\\.浇..
灼,zhuauoh,2\/.灼..
裘,qeiiuh,2-|.求.裘逑.
砰,peaeng,1-/.砰..磞
棘,jeiih,2-|.极吉藉棘.楫蒺蕺.鞊趌
橡,xeiiaahng,4-|.项巷橡..項
碱,jeaiaan,3-/.碱硷..蠒
聋,leaohng,2-/.龙聋.砻.龓
姥,loaaao,3~/.姥..
瑜,yeeuh,2--.于盂.瑜.邘
毋,woouh,2~~.毋..
娅,yoaaah,4~/..娅.
沮,juuuu,3\\.举沮..
萌,meiehng,2-|.蒙萌檬.瞢甍.
俏,qaiiaaoh,4/|.俏..
黯,ioaahn,4|~.暗岸.黯.
撇,peiie,1-|.撇..
粟,seiuuh,4-|.速粟.蔌.驌藗
粪,fuaeehn,4\/.粪..糞
尹,yoeiin,3~-.引尹..
苟,geioou,3-|.苟..耈耇
癫,dueian,1\-..癫.
蚂,mioa,1|~.蚂..
禹,yaiuu,3/|.禹.俣伛.與
廖,lueiaaoh,4\-.廖..
俭,jaiiaan,3/|.俭..
帖,tioie,1|~.贴帖..貼
煎,juaian,1\/.兼煎.鹣.
缕,lyoouu,3~~.缕..絽縷
窦,duuoouh,4\\..窦.竇
簇,caeuuh,4/-.簇..
棱,leiehng,2-|.棱楞.塄.薐輘
叩,kiooouh,4|~..叩.
呐,nioahh,5|~.呐..
瑶,yeeaoh,2--.瑶.珧.
墅,shiouuh,4|~.墅..
莺,yeiing,1-|.英樱.莺撄.
烫,tuuaahng,4\\.烫..
蛙,wioa,1|~.蛙..
歹,deaaai,3-/.歹..
伶,laiihng,2/|.伶..
葱,ceiong,1-|.聪葱.枞苁.茐聦聰蔥驄聡
哮,xioiao,1|~.哮嚣.哓.鸮蟂鴞
眩,xiouaahn,4|~.眩..
坤,keiun,1-|.坤.髡醌.髠
廓,kueuooh,4\-.廓..
讳,huouiih,4\~.讳诲..
啼,tioih,2|~.题蹄啼..題鶗
乍,zhaeaah,4/-.乍..
瓣,bueaahn,4\-.瓣..辦
矫,jaeiaao,3/-.矫铰..矯筊
跋,bioah,2|~.跋..
枉,weiaang,3-|.枉..菵
梗,geieeng,3-|.耿梗埂..
厕,ceaeeh,4-/.厕..
琢,zeeuoh,2--.琢..
讥,juoi,1\~.讥..禨
釉,yauoouh,4/\.釉..
窟,kuuu,1\\.窟..窋
敛,lauiaan,3/\.敛..
轼,sheoiih,4-~..轼.
庐,lueuh,2\-.庐..
胚,paoei,1/~.胚..肧
呻,shioen,1|~.申呻..
绰,choouooh,4~~.绰..
扼,eieeh,4-|.恶扼.噩萼垩苊.蕚軛蘁
懿,yeiiih,4-|.艺抑.懿薏挹埸.藙蓺鷧藝耴輗苅驛
炯,juaioong,3\/.炯..
竿,gaean,1/-.竿..筸
慷,kuuang,1\\.慷..
虞,yieuh,2|-.虞..
锤,chaeuih,2/-.垂锤..箠
栓,sheiuan,1-|.栓拴..
桨,jueiaang,3\-.奖桨..講
蚊,wioehn,2|~.蚊..聞闅閺閿
磅,beaaahng,4-/.磅..
孽,neiieeh,4-|.聂孽.颞蘖.菍糵顳苶聶
惭,cuuahn,2\\.惭..
戳,chouuo,1~\.戳..
禀,bueiing,3\-..禀.稟
鄂,ioeeh,4|~.遏鄂.颚鹗.顎鶚
馈,kaouiih,4/~.馈..
垣,yeiuahn,2-|.援袁垣.芫塬橼.薗
溅,juuiaahn,4\\.渐溅涧..
咚,dioong,1|~..咚岽.蝀
钙,gaeaaih,4/-.钙..
礁,jeaiao,1-/.礁..
彰,zhueang,1\-.章彰.鄣.麞
豁,huuuah,2\\.滑豁..
眯,mioi,1|~.眯.咪.瞇
磷,leaihn,2-/.磷..
雯,weuehn,2-\..雯.
墟,xeiu,1-|.墟..鬚蕦
迂,yeeu,1--.迂..
瞻,zhioan,1|~.瞻..
颅,lieuh,2|-.卢颅.鸬.顱
琉,leeiuh,2--.琉..
悼,duuaaoh,4\\.悼..盜
蝴,hiouh,2|~.蝴.囫.
拣,jeiiaan,3-|.检捡拣柬茧.戬枧.鬋醎
渺,muuiaao,3\\.渺..
眷,juauaahn,4\/.眷..絭
悯,muuiin,3\\.悯.泯.
汰,tuuaaih,4\\.汰..
慑,shuueeh,4\\.涉慑.滠.
婶,shoaeen,3~/.婶..
斐,fieeei,3|-..斐翡.
嘘,xiou,1|~.嘘.盱.
镶,xaeiang,1/-.香箱镶..
炕,kuaaahng,4\/.炕..
宦,huuuaahn,4\\.宦涣.浣逭漶.
趴,pioa,1|~.啪趴..
绷,booeng,1~~.绷..繃絣
窘,juuioong,3\\.窘..
襄,xueiang,1\-.襄..
珀,peeooh,4--..珀.
嚣,xioiao,1|~.哮嚣.哓.鸮蟂鴞
拚,peiin,1-|.拼.拚.
酌,zheiuoh,2-|.酌茁.擢.
浊,zhuuuoh,2\\.浊.濯浞.
毓,yaeuuh,4/-..毓钰.籲籞
撼,heiaahn,4-|.翰撼捍.菡.
嗜,shioiih,4|~.是嗜噬..眎
扛,keiahng,2-|.扛..
峭,qioiaaoh,4|~.峭..踃
磕,keae,1-/.磕..
翘,qeoiaaoh,4-~.翘..
槽,ceiaoh,2-|.曹槽..蓸
淌,tuuaang,3\\.淌..
栅,sheian,1-|.杉栅苫.芟埏.
颓,taeuih,2/-.颓..頹頺
熏,xaeun,1/-.熏..
瑛,yeeing,1--..瑛璎.
颐,yeiih,2-|.颐.圯.頤
忖,cuuuun,3\\..忖.
牡,maeuu,3/-.牡..
缀,zhoouiih,4~~.缀.缒.縋綴
徊,haauaih,2//.徊..
梨,laeih,2/-.黎梨篱犁.黧.鋫邌鯬筣籬
肪,faoahng,2/~.肪.鲂.
涕,tuuiih,4\\.惕涕.悌.
惫,baoeeih,4/~.备惫狈..
摹,meioh,2-|.模摹蘑..謩
踱,diouoh,2|~..踱.
肘,zhaooou,3/~.肘..
熔,ruaohng,2\/.熔..
挚,zheiiih,4-|.志掷挚.栉桎鸷贽.芖騺覟贄驇
氯,lyaeuuh,4/-.氯..
凛,lueiin,3\-.凛.廪.
绎,yooiih,4~~.绎.驿缢.絏
庶,shueuuh,4\-.庶..
脯,faouu,3/~.脯腑..
迭,daeieh,2/-.迭..
睦,miouuh,4|~.目睦..
窍,quuiaaoh,4\\.窍..竅
粥,zhoeou,1~-.粥..
庵,uean,1\-..庵.鶕
沧,cuuang,1\\.沧..
怠,douaaih,4~\.怠.迨.
沁,quuiihn,4\\.沁..
奕,yueiih,4\-.意亦疫毅裔.奕弈翊癔瘗.議詣譯裛謚讛
咙,lioohng,2|~.咙..眬躘
氨,aean,1/-.氨..
矗,cheiuuh,4-|.矗搐..
盔,keaui,1-/.盔..
拇,meiuu,3-|.拇.坶.
沛,puueeih,4\\.沛..
榻,teiaah,4-|.拓挞.榻.
揣,cheiuai,1-|.揣.搋.
崭,zhioaan,3|~.崭..
鞘,qeiiaaoh,4-|.鞘撬..翹
鞠,jeiu,1-|.拘鞠.掬趄鞫苴椐.
垦,koeeen,3~-.恳垦..
洽,quuiaah,4\\.恰洽..
唾,tiouooh,4|~.唾..跅
橱,cheiuh,2-|.橱..蒭
仕,shaiiih,4/|.侍仕..
蜘,zhioi,1|~.蜘..
痰,tueahn,2\-.痰..談
袜,wuoaah,4\~.袜..襪
峙,zhioiih,4|~.置帜峙.蛭帙踬.跱
柬,jeiiaan,3-|.检捡拣柬茧.戬枧.鬋醎
蝉,chioahn,2|~.蝉.蟾躔.蟬
蟹,xaoieeh,4/~.蟹.邂獬.
谏,juoiaahn,4\~..谏.
鹃,jiouan,1|~.鹃..
擎,qeiihng,2-|.擎.檠.
皓,haiaaoh,4/|..皓.
朕,zhaoeehn,4/~..朕.
疤,buea,1\-.疤..
禺,yiouh,2|~.愚.禺嵛蝓.顒颙
铲,chaeaan,3/-.铲..
酶,meieih,2-|.梅枚酶.楣莓.蘪
钝,daeuuhn,4/-.钝..
氓,mueahng,2\-.盲氓.邙.龒
匣,xeiiah,2-|.匣.柙.
弧,hoeuh,2~-.弧..
峨,ioeh,2|~.峨蛾.蚵.睋
锥,zhaeui,1/-.锥..
揪,jeiiu,1-|.揪.赳鬏.
杠,geiang,1-|.杠..
吭,hioahng,2|~.吭..蚢
崛,jioueh,2|~.嚼.崛蹶噱矍.躩
诬,wuou,1\~.诬..
冉,rioaan,3|~.冉..
抒,sheiu,1-|.枢梳蔬抒.菽摅.輸
庚,gueeng,1\-.庚.赓.鶊鹒賡
悍,huuaahn,4\\.汉汗憾悍.瀚.
靡,mueih,2\-.靡糜.麋縻.詸
晦,hiouiih,4|~.贿晦.喙蟪.翙賄
醋,ceiuuh,4-|.醋.蔟.
壕,heiaoh,2-|.壕..
锯,jaeu,1/-.锯.锔.
夭,yaeao,1/-..夭.
咦,yioih,2|~.遗.咦贻眙嶷.遺貤貽
侈,chaiii,3/|.侈..
婢,boaiih,4~/..婢.
猾,haouah,2/~.猾..
徘,paaaih,2//.徘..
硝,xeaiao,1-/.硝..硣
煽,shuaan,1\/.煽..羶羴
皂,zaiaaoh,4/|.皂..
舵,daauooh,4//.舵..
嗦,siouo,1|~.唆.嗦嗍睃.
狈,baoeeih,4/~.备惫狈..
靴,xeiue,1-|.薛靴..
捂,weiuu,3-|.五捂..
疮,chueuang,1\-.疮..
郝,heiaao,3-|.郝..
苛,keie,1-|.柯棵苛..薖軻
秽,haeuiih,4/-.秽..篲穢
茜,qeiiaahn,4-|..茜芡.蒨
搓,ceiuo,1-|.搓撮..
芸,yeiuhn,2-|..芸.鋆蒷
酱,jueiaahng,4\-.酱..
赁,laiiihn,4/|.赁..
檐,yeiahn,2-|.严盐.檐.鹽莚
饷,xaoiaang,3/~..饷.
蕉,jeiiao,1-|.教蕉椒.艽茭.萩轇驕
铀,yaeouh,2/-.铀..郵
苔,teiai,1-|.苔..
赦,sheieeh,4-|.摄赦..蔎騇
缎,doouaahn,4~~.缎..緞
舷,xaaiahn,2//.衔舷..銜
筷,kaeuaaih,4/-.筷..
朔,shuauooh,4\/.烁朔.槊.
婪,leiahn,2-|.蓝拦栏婪..蘭葻藍
紊,wueeen,3\-.紊..
厮,seai,1-/..厮.
婿,xoauuh,4~/.婿絮..
寥,luuiaoh,2\\.寥.寮.竂
兢,jeiing,1-|.荆茎兢.菁.驚莖荊
糙,cuaao,1\/.糙..
卦,geiuaah,4-|.挂.卦.
槐,heiuaih,2-|.槐..
扒,beia,1-|.扒芭捌..
裴,pieeih,2|-.裴..
祀,suoiih,4\~..祀.禩
埔,peiuu,3-|.朴埔..
絮,xoauuh,4~/.婿絮..
芭,beia,1-|.扒芭捌..
屉,toeiih,4~-.屉..
痪,hueuaahn,4\-.痪..
霄,xeuiao,1-\.霄..
绽,zhooaahn,4~~.绽..
宵,xuuiao,1\\.消宵.潇.
邑,yioiih,4|~.易邑屹.呓蜴峄.睪蛡鶍螠
霖,leuihn,2-\.霖..
岔,chauaah,4/\.岔..
饵,aoeer,3/~.尔饵.迩.
茄,qeiieh,2-|.茄..聺
韧,reeeehn,4--.韧..
琪,qeeih,2--..琪琦亓.
邹,zaoou,1/~.邹.鲰.
瑚,heeuh,2--.瑚..
憋,buaie,1\/.憋鳖..鼈鱉
殆,deaaaih,4-/.殆..
噜,liou,1|~..噜.
忒,teueeh,4-\..忒.
忿,faueehn,4/\.忿..
衅,xaiiihn,4/|.信衅.囟.舋
淳,chuuuhn,2\\.淳..
悖,buueeih,4\\..悖.
髦,meiaoh,2-|.茅.髦茆.髳鶜
孜,zoii,1~|.孜..
粤,yaiueeh,4/|.岳粤..粵
隘,oiaaih,4~|.隘..
濒,buuin,1\\.宾滨濒..賓
铮,zhaeeng,1/-..铮筝钲.箏篜
畸,jioi,1|~.畸.叽羁唧跻咭.踦羇羈
剔,tioi,1|~.踢剔..
坞,weiuuh,4-|.坞.芴杌.靰
篱,laeih,2/-.黎梨篱犁.黧.鋫邌鯬筣籬
淀,duuiaahn,4\\.淀惦..
蓦,meiooh,4-|.莫.蓦茉.驀藦
唬,hiouu,3|~.唬..
锣,laeuoh,2/-.锣箩.镙.
汀,tuuing,1\\.汀..
趾,zhioii,3|~.只趾..
缉,jooi,1~~.缉.畿.績緝
嫦,choaahng,2~/..嫦.
斟,zheien,1-|.真斟甄.桢榛蓁.
鞍,eian,1-|.鞍.桉.
扳,beian,1-|.搬扳..
拴,sheiuan,1-|.栓拴..
诅,zuouu,3\~.祖诅..
谟,muooh,2\~..谟.
呃,ioehh,5|~..呃.
懦,nuuuooh,4\\.懦..
逞,chioeeng,3|~.逞..
犁,laeih,2/-.黎梨篱犁.黧.鋫邌鯬筣籬
忏,chuuaahn,4\\..忏.
拧,neiihng,2-|.拧柠.聍.聹
亥,hueaaih,4\-.亥..
佟,taiohng,2/|..佟僮.
叱,chioiih,4|~..叱.
舜,shauuuhn,4/\.舜..
绊,booaahn,4~~.绊..絆
龚,geaong,1-/.龚..碽
腮,saoai,1/~.腮鳃..
邸,daoii,3/~..邸.
椒,jeiiao,1-|.教蕉椒.艽茭.萩轇驕
蔚,weieeih,4-|.蔚.軎.苿藯
湛,zhuuaahn,4\\.湛..
狩,shaooouh,4/~..狩.膄
眶,kiouaahng,4|~.旷眶.贶.眖
栈,zheiaahn,4-|.栈蘸..菚
薇,weiei,1-|.萎.薇葳.葨
肮,aoang,1/~.肮..
瀑,puuuuh,4\\.瀑..
渣,zhuua,1\\.渣..
褂,guouaah,4\~.褂.诖.
叽,jioi,1|~.畸.叽羁唧跻咭.踦羇羈
臀,toeuhn,2~-.臀..臋
妞,noaiu,1~/..妞.
巍,wioei,1|~.巍..
唔,ioehn,2|~..唔.
疚,jueiuuh,4\-.就疚.鹫.鷲
鲤,laoii,3/~.鲤.鳢.鱧
戎,reeohng,2--.戎..
肇,zhuoaaoh,4\~.肇.诏.
笃,daeuu,3/-..笃.篤
辙,cheoeeh,4-~.辙..
娴,xoaiahn,2~/.嫌.娴.
阮,roiuaan,3~|.阮..
札,zheiah,2-|.札..
懊,uuaaoh,4\\.澳懊..
焘,deeaaoh,4--..焘纛.
恤,xuuuuh,4\\.恤.溆洫.
疹,zhueeen,3\-.疹..診
潇,xuuiao,1\\.消宵.潇.
铝,lyaeuu,3/-.铝.稆.
涤,duuih,2\\.涤..
恃,shuuiih,4\\.室恃..
喽,lioouhh,5|~..喽.
砌,qeaiih,4-/.砌.碛.碶磜磩
遁,daauuhn,4//.盾遁..
楞,leiehng,2-|.棱楞.塄.薐輘
阱,joiiing,3~|..阱.
咎,jaoiuuh,4/~.咎..
洼,wuua,1\\.洼..窪窊
炳,buaiing,3\/.炳..
噬,shioiih,4|~.是嗜噬..眎
枫,feieng,1-|.封枫.葑.
拷,keiaao,3-|.考拷.栲.
哆,diouo,1|~.哆.咄.
矶,jeai,1-/..矶剞.磯
苇,weieei,3-|.苇..薳葦趡蔿
翩,puoian,1\~..翩.
窒,zhuuiih,4\\.治滞窒.忮.
侬,naiohng,2/|..侬.
靶,beiaa,3-|.把靶..
胰,yaoih,2/~.疑胰.饴.迻
芜,weiuh,2-|.吾芜梧..鹀茣莁
辫,bueiaahn,4\-.变辩辨辫卞..變辯
嚎,hioaoh,2|~.嚎.嗥蚝.蠔
妾,queieeh,4\-..妾.
幌,hiouaang,3|~.幌..
踉,lioiahng,2|~..踉.
佃,daiiaahn,4/|.佃..
葫,heiuh,2-|.胡壶葫.鹕槲觳醐.縠
皖,waiaan,3/|.皖..
拽,yeieeh,4-|.拽..葉
滤,lyuuuuh,4\\.滤..
睬,cioaai,3|~.踩睬..
俞,yauuh,2/\.余逾俞.觎.餘貗釪
匕,baoi,1/~..匕.鲾
谤,buoaahng,4\~.谤..
嗤,chioi,1|~.吃.嗤哧螭眵.
捍,heiaahn,4-|.翰撼捍.菡.
孵,faou,1/~.肤孵..
倪,naiih,2/|.倪..
瘾,yueiin,3\-..瘾.
敝,buaiih,4\/.弊敝..鷩
匡,keeuang,1--.匡..邼
磋,ceauo,1-/.磋..
绫,looihng,2~~..绫.
淆,xuuiaoh,2\\.淆..
尧,yeoaoh,2-~.尧.轺.
蕊,reiuii,3-|.蕊..蘂
烘,huaong,1\/.烘..
璋,zheeang,1--..璋.
亢,kueaahng,4\-.亢..
轧,yeoaah,4-~.轧.迓.
赂,liouuh,4|~.路赂.鹭.睩賂鷺
蝗,hiouahng,2|~.蝗.蟥.
榆,yeiuh,2-|.榆.揄萸.荢
骏,joouuhn,4~~.骏..
诛,zhuou,1\~.诸诛..
勺,shaoaoh,2/~.勺..
梵,feiaahn,4-|.范.梵.軓
炽,chuaiih,4\/.炽..
笠,laeiih,4/-.利.笠篥.
颌,haueh,2/\.合盒.颌.龢頜
闸,zhuiah,2\|.闸..
狒,faoeeih,4/~.肺.狒.
樊,feiahn,2-|.樊.蘩.蠜薠
镕,raeohng,2/-...镕
垢,geioouh,4-|.构垢.彀.
瘟,wueen,1\-.瘟..
缪,mooiaaoh,4~~..缪.繆
菇,geiu,1-|.辜菇.鸪毂菰酤.蓇鴣苽轂
琦,qeeih,2--..琪琦亓.
剃,tuaiih,4\/.剃..
迸,buaeehng,4\/.迸..
溺,nuuiih,4\\.溺..
炫,xuauaahn,4\/..炫.
惚,huuu,1\\..惚滹.
嗨,hioai,1|~.咳.嗨.
陨,yoiuun,3~|.陨..
赃,zioang,1|~.赃..髒
羁,jioi,1|~.畸.叽羁唧跻咭.踦羇羈
臻,zheoen,1-~.臻..
嘀,dioi,1|~..嘀.
膳,shaoaahn,4/~.膳.鳝.鱣
赣,gueaahn,4\-.赣..
踌,chioouh,2|~.畴踌.帱.
殉,xeauuhn,4-/.殉..顨
桔,jeiieh,2-|.节杰截捷劫桔.颉拮.蓵
瞿,jiouuh,4|~.具距踞.瞿.
闽,muiiin,3\|.闽.闵.
豚,taouhn,2/~..豚饨.鲀
掺,cheian,1-|.掺搀..
沌,duuuuhn,4\\..沌.
惰,duuuooh,4\\.惰.沲.
喳,chioa,1|~.喳.嚓.
椭,teiuoo,3-|.椭..
咪,mioi,1|~.眯.咪.瞇
霎,sheuaah,4-\..霎.
侃,kaiaan,3/|..侃.
猝,caouuh,4/~..猝.
窖,juuiaaoh,4\\.窖..覚
戮,louuuh,4~\.戮..
祠,cuoih,2\~.词.祠.
